id,source,url,title,organization,salary_from,salary_to,salary_currency,salary_raw,published_at,published_raw,region,experience,employment_type,description,extra_info,is_archive,archive_timestamp,scraped_at
57,profiminer.ru,https://profiminer.ru/vacancy/4837/,Водитель самосвала,confidential,204000.0,210000.0,RUB,,2025-07-16T13:38:30+03:00,2025-07-16T13:38:30+03:00,Билибино,,,"Профессиональное вождение автомобиля Следить за техническим состоянием автомобиля, самостоятельно производить необходимые работы по обеспечению его безопасной эксплуатации (согласно инструкции по эксплуатации), своевременно проводить техническое обслуживание автотранспорта в сервисном центре; Погрузка горной массы",,0,,2026-09-08T16:06:15.590843
58,profiminer.ru,https://profiminer.ru/vacancy/4836/,Водитель Тягача с ДОПОГ,confidential,243600.0,,RUB,,2025-07-16T13:34:34+03:00,2025-07-16T13:34:34+03:00,Билибино,,,Водитель КАМАЗ (завоз топлива),,0,,2026-09-08T16:06:19.188045
59,profiminer.ru,https://profiminer.ru/vacancy/4835/,Бухгалтер по авансовым отчетам,confidential,130000.0,,RUB,,2025-07-16T13:31:26+03:00,2025-07-16T13:31:26+03:00,Москва,,,"опыт работы по учету расчетов с подотчетными лицами, работающих вахтовым методом; восстановление учета расчетов с подотчетными лицами: авансовые отчеты, командировочные расходы, учет а/билетов и ж/д билетов, посадочных талонов и прочих расчетов с работниками, удержания из заработной платы; знание бухгалтерского и налогового учета ( налогообложение натуральных доходов подотчетных лиц, НДФЛ, страховые взносы, компенсации согласно ТК РФ, удержания); отражение расходов с подотчетными лицами на счетах бухгалтерского и налогового учета ( 20-29, 91 счета); учет расчетов с поставщиками и подрядчиками (агентства по приобретению билетов, гостиницы, чартеры); опытный пользователь 1С:УПП; формирование данных для книги покупок ( декларации НДС); подготовка данных для выплаты компенсаций работникам по проезду и проживанию.",,0,,2026-09-08T16:06:23.150525
60,profiminer.ru,https://profiminer.ru/vacancy/4834/,Слесарь по ремонту автомобилей,confidential,167475.0,,RUB,,2025-07-16T13:21:30+03:00,2025-07-16T13:21:30+03:00,Билибино,,,"Ремонт автомобилей; Ремонт топливных систем горной техники; Знание гидравлической системы автомобилей Разборка, ремонт, сборка сложных агрегатов, узлов и приборов и замена их при техническом обслуживании; Выявление и устранение дефектов, неисправностей в процессе эксплуатации горных автомобилей; Регулировка и испытание агрегатов, узлов и приборов, разбраковка деталей после разборки и мойки; Слесарная обработка деталей по 7 - 10 квалитетам с применением универсальных приспособлений",,0,,2026-09-08T16:06:27.327080
61,profiminer.ru,https://profiminer.ru/vacancy/1727/,Электрослесарь 6 разряда,,,,,,,2023-05-26T14:08:51+03:00,,,,,,1,20230530221028,2026-09-08T16:27:15.910322
62,profiminer.ru,https://profiminer.ru/vacancy/1731/,Фельдшер,,,,,,,2023-05-26T14:05:30+03:00,,,,,,1,20230530221850,2026-09-08T16:27:24.189814
63,profiminer.ru,https://profiminer.ru/vacancy/1729/,Токарь-фрезеровщик,,,,,,,2023-05-26T14:04:33+03:00,,,,,,1,20230530210032,2026-09-08T16:27:45.650091
64,profiminer.ru,https://profiminer.ru/vacancy/1739/,Слесарь строительный,,,,,,,2023-05-26T14:03:39+03:00,,,,,,1,20230530220615,2026-09-08T16:27:56.975505
65,profiminer.ru,https://profiminer.ru/vacancy/1720/,Слесарь по ремонту самоходного оборудования (СДО),,,,,,,2023-05-26T14:02:41+03:00,,,,,,1,20230530203330,2026-09-08T16:28:03.751015
66,profiminer.ru,https://profiminer.ru/vacancy/1728/,Слесарь по ремонту ДВС,,,,,,,2023-05-26T14:01:16+03:00,,,,,,1,20230530202037,2026-09-08T16:28:08.189157
